979,1,0
1445,1,0
2073,2,0
2280,2,4
3074,1,0
3128,2,0
4808,2,2
5689,2,0
338,2,1
1990,2,0
2851,3,0
3102,3,0
3923,1,0
4138,2,0
5039,1,0
5420,2,0
5614,1,0
353,1,0
354,6,0
357,1,0
2612,6,1
18413,5,0
4551,1,0
590,8,1
701,8,0
863,1,0
18552,7,0
799,4,0
18669,1,2
18670,1,2
3874,6,0
3875,1,0
3878,1,0
3879,1,0
3880,1,0
3881,1,0
929,8,0
19051,4,2
19052,4,2
372,5,0
374,1,0
377,8,1
387,1,0
3272,4,0
562,8,2
877,2,0
967,6,0
2295,5,0
2381,1,0
2598,8,0
2614,3,0
2763,3,0
2941,8,0
3358,8,0
4204,6,0
4630,1,0
4631,1,0
4632,6,0
4633,3,0
4634,1,0
4635,1,3
4636,1,0
4638,1,1
2512,1,0
2515,4,1
695,8,2
960,1,2
1131,8,2
5282,1,0
2292,6,0
4677,3,0
393,2,0
665,3,0
2378,7,8
7445,1,0
18523,1,0
18524,2,0
475,2,0
1147,1,2
1352,1,0
1398,2,0
2103,1,0
2566,1,0
2584,1,0
2815,1,0
3866,1,0
4510,1,0
5128,1,0
5434,1,4
5860,1,0
6692,1,0
6735,1,2
7058,1,0
401,1,0
406,7,0
18489,7,0
7144,5,0
883,1,0
3748,4,0
4102,8,5
4557,8,3
18513,1,0
18514,1,0
986,1,1
1743,1,0
2710,6,0
3479,1,0
3927,6,1
4039,5,1
4154,3,0
4526,5,0
4528,3,2
436,3,0
977,3,1
1537,3,1
3786,1,0
4532,1,0
8180,3,1
443,8,0
444,1,2
451,9,0
452,5,0
453,2,0
454,9,0
18665,7,1
18666,7,1
608,1,0
3005,1,0
3273,1,1
5615,2,0
2682,10,0
3176,10,0
4956,5,0
5306,4,0
4191,3,0
6417,4,0
19427,1,0
19428,1,1
2567,3,0
8193,4,0
19130,1,1
1951,7,0
2954,9,0
19632,1,1
19633,1,1
1954,10,0
1956,10,0
2010,1,0
2011,8,0
2012,5,0
2013,1,0
2218,1,0
2219,6,0
2220,1,0
2221,10,0
2222,6,0
2223,1,0
7693,1,0
18619,2,0
18620,2,0
5818,5,0
6604,1,0
18445,1,1
18446,1,1
503,1,0
1806,1,1
2386,1,0
18476,2,1
18710,1,1
668,3,0
687,3,0
881,1,2
961,6,1
1187,3,0
1382,3,0
1678,3,0
2293,1,0
2738,1,0
3279,9,1
3706,1,0
3965,4,0
4131,7,0
4574,1,1
5272,1,0
5276,1,0
5284,9,1
5285,1,1
5287,3,1
5288,5,0
18457,1,1
18458,1,1
542,1,0
18532,5,0
18548,1,4
18416,2,0
18417,2,0
1501,1,0
18841,1,0
18842,1,0
564,3,1
565,7,0
566,1,2
567,1,2
1562,3,0
1939,3,0
2552,1,0
4911,3,0
3638,6,0
1679,1,1
6073,1,2
18752,1,1
18753,1,1
808,1,4
1944,1,0
2349,1,0
2351,1,0
3231,1,0
3442,1,0
3948,1,0
5990,1,0
583,1,0
587,3,0
18707,1,0
18702,1,0
18703,1,0
1204,3,0
18622,3,0
589,5,0
592,5,4
605,1,0
606,5,4
607,1,0
2557,4,0
968,7,2
969,1,0
2266,1,0
2518,5,1
2773,5,0
3002,6,0
3147,2,1
3213,8,2
4727,5,3
5884,6,0
6438,1,1
6937,5,0
6940,1,3
5043,2,0
615,3,1
616,1,0
18643,4,0
978,2,1
1812,4,0
1875,1,0
1898,2,0
3332,1,0
3473,2,1
4430,1,0
5249,2,0
5727,4,0
5729,3,0
626,2,0
831,2,1
1903,1,0
2298,1,0
2884,1,0
4463,1,0
4607,1,0
4896,1,0
5022,2,1
5511,1,0
5924,1,0
5995,2,1
6331,1,0
18706,1,1
654,2,0
655,1,1
656,8,0
1418,1,0
1665,1,0
5567,1,2
5789,1,0
6781,1,3
8729,1,1
2115,4,0
18819,5,0
18820,5,0
683,5,0
852,8,4
1556,4,1
3616,2,0
3657,1,0
3794,7,0
6407,1,0
6473,1,0
6648,2,0
6918,3,0
1385,2,0
697,1,0
698,8,1
702,8,3
18557,4,1
18558,4,1
1606,7,0
1729,8,4
708,10,0
1826,6,0
18677,5,0
18680,2,0
722,2,0
746,1,2
5186,1,1
19178,2,0
19179,2,0
18781,1,1
18588,1,0
18589,1,0
745,2,0
996,1,0
1099,2,0
4065,1,1
4068,1,0
1846,2,1
1847,2,3
18515,1,0
18516,1,0
18948,7,6
18949,7,6
5625,6,0
5764,5,1
18596,2,0
18597,2,0
18509,7,0
18510,7,0
793,1,0
19045,1,0
19046,1,0
847,1,0
1193,1,1
2191,1,0
2943,2,2
4514,1,0
4572,2,0
4834,1,3
5165,1,3
5166,1,0
5184,1,0
5547,1,0
1657,1,5
824,1,0
826,1,0
828,1,0
3238,8,0
4744,1,0
18633,3,0
18662,2,0
18729,1,0
878,1,0
4546,8,1
4555,5,0
4876,1,0
6160,1,0
6161,1,0
18671,5,0
18672,5,0
18836,3,1
18427,1,1
1699,1,3
5920,1,0
18375,1,1
18479,1,0
18908,2,0
18909,2,0
963,1,0
966,1,0
970,1,0
973,2,1
976,1,0
989,1,0
999,1,0
1000,1,0
1001,1,0
1007,1,0
1014,1,0
1317,1,0
1327,1,0
2358,9,0
3116,6,0
4424,1,0
4704,1,0
18410,6,0
18471,6,0
6208,1,0
6209,1,0
18539,5,1
2384,1,0
3445,1,0
4419,5,2
4423,1,0
4426,1,0
4429,1,0
18540,1,0
1730,1,0
18577,2,0
18578,2,0
18630,2,1
18631,2,1
18645,2,0
18646,2,0
5491,1,0
5492,1,0
18824,1,0
18826,1,0
18963,1,1
18964,1,1
1232,1,1
19314,1,1
19315,1,1
19344,1,0
19345,1,0
19351,1,0
19353,1,0
19226,2,0
19227,2,0
19688,1,0
19689,1,0
1051,1,0
3089,1,0
18943,1,1
18944,1,1
1077,6,0
3234,8,3
3374,4,0
18428,2,1
18429,2,1
1334,2,0
18370,2,0
18371,2,1
1118,1,0
2269,1,0
1136,1,0
1138,1,0
18709,1,1
1145,1,0
1512,4,0
2215,6,0
2896,2,0
2897,1,0
3085,1,0
3113,7,0
3795,1,0
3796,2,0
6298,5,1
6909,1,0
18952,2,0
18758,1,1
18759,1,1
3129,2,6
2675,1,1
18745,1,1
2075,1,0
1197,1,0
1198,1,0
18378,1,1
18418,1,1
18425,1,1
18717,1,1
18718,1,1
1205,1,0
1215,1,0
18689,1,0
18690,1,0
3000,1,0
3784,1,0
4276,1,2
4738,2,0
5015,1,0
19214,1,1
19390,1,1
18969,1,0
18970,1,0
1450,1,0
1786,1,0
3503,1,0
4275,1,0
3397,1,0
6380,1,0
2633,1,0
4086,1,0
4140,1,0
5162,1,0
18571,1,3
1680,1,1
7636,1,0
19290,1,1
19291,1,1
1510,1,0
18733,1,1
18734,1,1
7660,1,0
4073,1,2
2354,2,0
1565,1,0
1570,1,0
18511,4,0
18512,4,0
18647,4,0
18739,1,1
2847,1,0
2854,1,0
2858,1,0
2866,1,0
2919,1,0
19433,1,0
5813,3,0
5554,1,0
1596,2,4
3828,7,0
2123,1,0
1631,6,0
1632,6,0
